Actual word in English,Actual word in Hindi,Predicted word in Hindi
dhabhaashaaraa,धभाशारा,ढभाशारा
antdiyan,अंतडियां,अंतदियां
robin,राबिन,रोबिन
singar,सिंगार,सिंगार
gumshudagi,गुमशुदगी,गुमशुदाग
balkrishna,बालकृष्ण,बालकृष्ण
phabti,फब्ती,फबती]
palatne,पलटने,पलतने
lahlahaati,लहलहाती,लहलहाती
nagaada,नगाड़ा,नगाडा]
udanen,उड़ानें,उदानें]
klein,क्लेन,क्लेन
juloos,जूलूस,जुलूस
karyabhar,कार्यभार,कार्यभर]
manto,मंटो,मैंट
paimaish,पैमाइश,पैमैश]
covina,कोविना,कोविना
penshan,पेंषन,पेंशन
ogastaavestalaind,ऑगस्टावेस्टलैंड,ओगतसवतादीनेक]##
centreeng,सैंट्रींग,सेंट्रिंग
activa,ऐक्टिवा,एक्टिवा
barker,बार्कर,बरकर]#
valkan,वल्कन,वालका
vruton,वृत्तों,व्रुतों
kabaddi,कबड्डी,कबाड़ी
raunakh,रौनक़,रौनख]
caitlyn,कैटलिन,काइटली
phoos,फूस,फूस
jangadnaa,जनगणना,जंगड़न
upakhyaanon,उपाख्यानों,उपख्यानों]
sundram,सुंदरम,सुंद्र
cochin,कोचीन,कॉचिन
neko,नेको,नेको
kaushal,कौशल,कौशल
phaliya,फालिया,फलिया]
acevedo,एस्वेडो,एसीवेडो
kottayam,कोट्टयम,कोट्टमय
dilaaega,दिलाएगा,दिलागिय
kurvi,कर्वी,कुरवी
saunpengi,सौंपेंगी,सौंपेंगी
lekhan,लेख़न,लेखन]
gudepu,गुडेपु,गुडेपू
pharase,फरसे,फरसे
nubiya,नूबिया,नुबिया
taja,ताजा,ताजा
aantrit,आंत्रित,आंत्रित
qazi,काजी,क़ाज
murgipalan,मुर्गीपालन,मुर्गीपालन
eddy,एड्डी,एडीडी
nagine,नगीने,नागिन
subha,सुब्हा,सुबा]#
luis,लुइस,लुइस
vijayapuram,विजयापुरम,विजयपुरम]
bataao,बताअाे,बताओ]#
ochoa,ओकोआ,ओचोआ
science,साइंस,सीएसआ
sarkarein,सरकारें,सरकरें]
bremerton,ब्रेमटन,ब्रेमर्
gurupado,गुरुपदो,गुरुपड़
sanyukt,संयुक्त,संयुक्त
raalod,रालोद,रालोड
baadhaon,बाधाओं,बाधाओं
gaumutra,गौमूत्र,गौमुत्र
sabhaen,सभाएं,सभाएं
tani,तनी,तनी
delhi,दिल्ली,डेलीही
suken,सुजेन,सुकें
vineet,विनीत,विनीत
chimate,चिमाते,चिमते]
kikiyana,किकियाना,किकियाना
rocket,रॊकेट,रॉकट]
maxwell,मैक्सवेल,मैक्सवेल
hippo,हिप्पो,हिप्पो
deepan,दीपन,दीपन
arymaa,अर्यमा,आर्यमा
bhulata,भूलता,भुलता
karmaacharee,कर्माचारी,कर्मचारी]
durgapur,दुर्गापुर,दुर्गपुर]
tribhaashaa,त्रिभाषा,त्रिभाषा
soodkhoron,सूदखोरों,सूदखोरों
prastaavon,प्रस्तावों,प्रस्तावों
survin,सुरवीन,सर्विन
prapti,प्राप्ती,प्राप्ती
girivaasiyon,गिरिवासियों,गिरिवासियों
siducing,सिडयूसिंग,साइडिंगिक
welwet,वेलवेट,वेलवेट
muqarrar,मुक़र्रर,मुकरर]##
baxter,बैक्सटर,बैक्स्ट
denier,डेनिअर,डेनियर
cw,सीडब्ल्यू,सीवी]####
uthani,उठनी,उठान
ghasi,घासी,घासी
ikattha,इकट्ठा,इकत्ता
bhupsingh,भूपसिंह,भूपसिंह
dabochne,दबोचने,डबोचने
crosby,क्रॉस्बी,क्रॉसीबी
naameegiraamee,नामीगिरामी,नामीगीरीम]
hurley,हर्ले,हुर्ल
jarda,जर्दा,जारदा
liepradhanmantri,लिएप्रधानमंत्री,लाइप्रहन्थमांती
bhranti,भ्रांति,भ्रांती
agencyyon,ऐजेंसियों,एजेंशियों
bago,बागो,बागो
forcee,फारसी,फ़ोर्
bosaan,बोसान,बोसान
karki,कार्की,कारकी]
ginate,गिनते,गिनेट
manokaamnaaon,मनोकामनाओं,मनोकमानों]
sammpattiyaan,संम्पत्तियां,संपत्त्यियां
politheenon,पॉलिथीनों,पोलीथिनों
mtake,एमटेक,मटके]
parichar,परिचर,परिचर
badabadee,बडबडी,बाड़ब
crane,क्रेन,स्रेन
laamiyaan,लामियां,लामियां
ulhasnagar,उल्हासनगर,उलहस्गरण]
prabhanmantri,प्रभानमंत्री,प्रभानमंत्री
shiwalapurwa,शिवालापुरवा,शिवालपुरवा]
ferth,फर्थ,फर्थ
suhagin,सुहागिन,सुहागीं
saraikela,सरायकेला,सराईकेला
romeoville,रोमियोविल,रोमीविल]#
raajsthanvasiyon,राजस्थानवासियों,राजस्थावांसियों
pratirodhaatmak,प्रतिरोधात्मक,प्रतिरोधात्मक
svarnikaa,स्वर्णिका,स्वर्णिका
vyavasthapana,व्यवस्थापना,व्यवस्थापना
tel,तेल,टेल
galatfahmi,ग़लतफ़हमी,गलतफामही]
takeinsider,टेकइनसाइडर,टेकेनिस्डर
microfiber,माइक्रोफाइबर,माइक्रोफिबर]
shreemahapoorn,श्रीमहापूर्ण,श्रीमहपूर्ण]
fallujaa,फ़ल्लूजा,फल्लुजा]
donaldson,डोनल्डसन,डोनाल्डस
chadhne,चढ़ने,चढ़ने
jeevvigyaaniyon,जीवविज्ञानियों,जीवीवज्ञानियों
cricketing,क्रिकेटिंग,क्रिकेटिंग
reduction,रिडक्शन,रिडक्शन
awaazen,आवाज़ें,अवाज़ें
wlaad,व्लाद,व्लाड
prathmik,प्राथमिक,प्रथमिक]
thenga,ठेंगा,थेंगा
excel,एक्सेल,एक्सेस
chatakaate,चटकाते,चटकाते
kubuddin,कुबुद्दीन,कुबुद्दीन
taaza,ताजा,ताज़
padani,पड़नी,पदानी
nichaai,नीचाई,निचाई
wausau,वौसौ,वौसा
aalochakon,आलोचकों,आलोचकों
jaljale,ज़लज़ले,जलजाले]
surat,सूरत,सुरत
jeevati,जीवति,जीवती
prahaarak,प्रहारक,प्रहारक
shreesadguru,श्रीसद्गुरु,श्रीसदगुरु]
sanchalanon,संचालनों,संचलनों]
bhal,भाल,भाल
tughlaq,तुगलक,तुघला
uthaapatak,उठापटक,उठापतक
hastaantaraneey,हस्तांतरणीय,हस्तानार्ता
utsaahawarddhan,उत्साहवर्द्धन,उत्सावादर्धन]
sangoshtree,संगोष्ट्री,संगोष्ट्री
shaasanadhikariyon,शासनाधिकारियों,शासनाधिकारियों
mahadhipatiyon,महाधिपतियों,महाधिपतियों
fatima,फातिमा,फतिमा]
fode,फोड़े,फोड़े
kantinyoo,कंटिन्यू,कांतिनयो
kaamanaen,कामानाएं,कामनाएं]
chutile,चुटीले,चुटिले
sankhyaen,संख्याएं,संख्याएं
kranj,करंज,क्रा
barsata,बरसाता,बरसाता
parikalpit,परिकल्पित,परिकालपित
harpal,हरपाल,हरपाल
maaoont,माऊंट,माउंत
grover,ग्रोवर,ग्रोवर
biolozis,बायोलॉजिस्,बायोलॉजिस]
halisahar,हालिशहर,हलिसहर]
angelo,एंजेलो,अंगेलो
janeudharee,जनेऊधारी,जनेउधरी]
bichbachaav,बीचबचाव,बिचबाचव
pokar,पोकर,पोकर
apvartit,अपवर्तित,अपवर्तित
aastin,आस्तीन,आस्तिन
pratishthaavaale,प्रतिष्ठावाले,प्रतिष्ठावले]
buenaventura,ब्युनावेंचुरा,बुएनेवेंट्रू]
deccan,डेक्कन,डीकेन]
seriw,सेरिव,सेरिव
pardaa,पर्दा,परदा]
emile,एमिल,एमील
shaili,शैली,शैली
eastvale,ईस्टवेल,ईस्टवाल
chhallaa,छल्ला,छल्ला
lakshyon,लक्ष्यों,लक्ष्यों
hoaf,हॉफ,होफ
jarurih,जरूरीः,जरुरीह
rahya,रह्या,राहय्
mahkane,महकने,महकान
devi,देवी,डेवी
nielsen,नील्सन,नाइलसे
bhira,भीरा,भिरा
chabutare,चबूतरे,चबुतेर
bhushan,भूषण,भूषण
rukte,रुकते,रुकते
aamdani,आमदनी,आमदान
talkshow,टॉकशो,तालक्
junagadh,जूनागढ़,जुनागढ़
padhata,पढ़ाता,पढ़ता]
odhakar,ओढ़कर,ओधकर]
broke,ब्रोक,ब्रोक
talaasha,तलाशा,तलाशा
parivaarwaale,परिवारवाले,परिवावराले
trubyunal,ट्रिब्यूनल,ट्रुब्युनल
brock,ब्रोक,ब्रॉक
yallaappaa,यल्लाप्पा,यल्लापा]#
tasvaron,तस्वारों,तस्वरों]
tugalaki,तुगलकी,तुगलकी
pick,पिक,पीआ
circulation,सर्किलेशन,सरकुलेशन]
jvar,ज्वार,ज्वार
kanindham,कनिंघम,कनिंधम
kush,कुश,कुश
properfacebuk,प्रॉपरफेसबुक,प्रोपरफेबॉक]
ashrafi,अशरफी,अशराफ
chadhen,चढ़ें,चढ़ें
vangchuk,वांगचुक,वांगचुक
honeywell,हनीवेल,होनेवे
radiumdharmee,रेडियमधर्मी,राडीउमधर्मी
ladhege,लड़ेगे,लाढ़ेग
sachan,सचन,सचन
arthshastriyon,अर्थशास्त्रीयों,अर्थशास्त्रियों
canton,कैंटन,केंटन
aatmamugdha,आत्ममुग्ध,आत्ममुग्ध
pontiac,पॉन्टिएक,पोंटिक]#
lopez,लोपेज़,लोपे]#
ghontanaa,घोंटना,घोंटना
ambani,अम्बानी,अम्बानी
maryadaon,मर्यादाओं,मर्यादाओं
ratlam,रतलाम,रतलाम
hercules,हरक्यूलिस,हरक्युलों
akola,अकोला,अकोला
sakshan,सक्शन,सक्षण
notbandeeshuda,नोटबंदीशुदा,नोतबंदीसहुद
lagavaatee,लगवाती,लगवाती
alive,अलाइव,अलीवे
jivant,जीवंत,जीवंत
foda,फोड़ा,फ़ोदा
fatahee,फटही,फतही
noobiyaa,नूबिया,नूबिया
lalmanee,लालमणी,लालमान
faisala,फ़ैसला,फैसला]
krutyaa,कृत्या,क्रुत्
dhuan,धुआं,धुआन
ahuja,आहूजा,अहुजा
pratipaalpur,प्रतिपालपुर,प्रतिपालपुर
namkeen,नमकीन,नमकीन
manjilen,मंजिलें,मंजिलें
laffaajee,लफ्फाजी,लफफाजी]
juraab,जुराब,जुराब
fulae,फुलाए,फुला]
castalloy,केस्टालॉय,कैस्टलॉय]
black,ब्लैक,ब्लैक
sooraj,सूरज,सूरज
bronch,ब्रॉन्च,ब्रॉनच]
avarnataa,अवर्णता,अवरनाता
johari,जोहरी,जोहरी
tevree,तेवरी,टेवरी
sanders,सेंडर्स,सैंडर्स
welder,वेल्डर,वेल्डर
eneeyoo,एनईयू,एनीयू
bharashtachaariyon,भरष्टाचारियों,भराष्टाचारियो
laalmanee,लालमणी,लालमनी
khaatedaar,खातेदार,खाटेड़र
aazmaanaa,आजमाना,आज़मान
aavrittiyon,आवृत्तियों,आवृत्तियों
kullawee,कुल्लवी,कुल्लवी
bahawalpur,बहावलपुर,बहावलपुर
prathmikta,प्राथमिकता,प्रथमकिता]
mobile,मोबाइल,मोबिले
katihar,कटिहार,कातिहा
swecha,स्वेच्छा,स्वेचा]#
haamidan,हामिदन,हामिदन
samdharshni,समदर्शिनी,समधर्ष्णी
dridh,दृढ़,दृध]
gond,गोंद,गोंड
wishesh,विशेश,विशेष
kaabilegour,काबिलेगौर,काबिलेगुर
laurense,लौरेंस,लॉरेंस
hisham,हिशाम,हिशम]
chausinga,चौसिंगा,चौसिंगा
pafin,पफिन,पफीं
mate,मेट,मटे
buildcon,बिल्डकॉन,बिल्डकॉन
teekon,टीकों,टीकों
athak,अथक,अथक
jindagee,जिदंगी,जिंदगी
chayal,चायल,छयाल
maap,माप,माप
last,लास्ट,लस्ट]
gajra,गजरा,गजरा
ratrichar,रात्रिचर,रात्रीचा
kaathalaa,काथला,कठला]
sahuuliyata,सहूलियत,सहूलियत
pattnaik,पटनायक,पटनाइक
nyayalayeen,न्यायालयीन,न्यायलयीन]
mukhyamantriyon,मुख्यमंत्रियाें,मुखमांत्रियों]#
jeetanewalon,जीतनेवालों,जीतेनवालों
swaphoto,स्वफ़ोटो,स्वाफोटो
clifton,क्लिफ्टन,क्लिफ्टन
doda,डोडा,डोडा
pendulum,पेंडुलम,पेंडुलम
chipakane,चिपकने,चिपकने
nalakasa,नलकसा,नलक्स
chhah,छह,छा
gond,गोंड,गोंद
sameekshaakartaa,समीक्षाकर्ता,समिक्षाकर्ता
mantripad,मंत्रीपद,मंत्रिपद
liberation,लिब्रेशन,लाइबरेशन
asamaany,असमान्य,असमानी]
chungiyon,चुंगियों,चुंगियों
arica,एरिका,अरिका
balot,बेलोट,बलोट]
thin,थींं,थिन]
formic,फार्मिक,फार्मिक
yuddhak,युद्धक,युद्धक
vegas,वेगास,वेगास
las,लास्ट,लास]#
chitranshi,चित्रांशी,चित्रांशी
avranta,अवर्णता,अवरंता]
wasting,वेस्टिंग,वास्टिंग
vitark,वितर्क,वितरक]
mukabaale,मुकबाले,मुकाबाल
dharmapoorwee,धर्मपूर्वी,धर्मपूर्वी
ambaani,अंबानी,अंबानी
ibija,इबीजा,इबिजा
mahamedia,महामीडिया,महामेडिया
suzlon,सुज़लोन,सुजलों]
varnit,वर्णित,वर्नित
jhuthlane,झुठलाने,झुठलाने
madurai,मदुरई,मादुर
kaundal,कौण्डल,कौंडल]
lapatta,लापत्ता,लपट्टा]
kshin,क्षीण,क्षिण
tewaree,तेवरी,तेवार
raichur,रायचूर,रायचुर
lindon,लिंडन,लिंडो
pulama,पुलमा,पुलमा
olraunder,ऑलराउंडर,ओलराउंडर
garibon,ग़रीबों,गरीबों]
callahan,कालाहान,कैलहन]#
wabag,वाबाग,वाबाग
kaipdhari,कैपधारी,कैपदारी
atta,आटा,अट्
bareli,बरेली,बरेली
jing,जिंग,जिंग
jivan,जीवन,जिवा
reddy,रेड्डी,रेडी]#
pehni,पहनी,पहेन
tanu,तनु,तान
deepika,दीपिका,दीपिका
lohati,लोहाती,लोहती]
kakkad,कक्कड़,कक्कड़
maulviyon,मौलवियों,मौलवियों
dungarpur,डूंगरपुर,डुंगरपुर
zaalaanaa,झालाना,ज़ालान
lakme,लक्मे,लकमे]
prospectus,प्रोस्पैक्ट्स,प्रॉस्पेक्टस]
westinghouse,वेस्टिंगहाउस,वेस्टिंगहाउस
bawara,बावरा,बवारा
thakkr,ठक्कर,ठक्कर
ichchhaachaaree,इच्छाचारी,इच्छाचारी
triya,त्रिया,त्रिया
dhavakon,धावकों,धवकों]
damle,दामले,डम्ले
shravanabelagola,श्रवणाबेलागोला,श्रवणबेलोगला]#
nilkamal,नीलकमल,निल्कम
karmacharee,कर्माचारी,कर्मचारी]
poorwottar,पूर्वाेत्तर,पूर्वत्तर]#
lehrayi,लहराई,लहराय
haito,हैतो,हाइट
prakaandh,प्रकाण्ड़,प्रकांध]#
khelmantree,खेलमंत्री,खेलमंत्री
bhavishya,भविष्य,भविष्य
egmor,एगमोर,एग्मो
shringar,शृंगार,श्रृंग
saupengee,सौंपेंगी,सौपेंगी]
knoxville,नॉक्सविल,क्नोक्सि
bender,बेंडर,बेंडर
sundaram,सुंदरम,सुंदरा
pradesh,प्रदेश,प्रदेश
samvedikaran,संवेदीकरण,संवेदीकरण
laguna,लगुना,लगुना
bhisham,भीष्म,बीशाम
yemmiganur,येम्मिगनुर,येमिमुनगर]
huhtamaki,हुहतमाकी,हुहतामकी
vadli,वडाली,वडली]
gail,गेल,गीआ
race,रेस,रीस
salazar,सालाज़र,सलाजर]#
diphtheria,डिप्थीरिया,डिप्थेरिया
dradh,दृढ़,दराध
shadadhi,शदधि,शादा
prabodhini,प्रबोधिनी,प्रबोधिनी
lokpratinidhiyon,लोकप्रतिनिधियों,लोकप्रतिधियोंवी
jatati,जताती,जताती
mangla,मंगला,मांगल
berwyn,बर्विन,बर्वीन
mum,मम,मम
udaygadhi,उदयगढ़ी,उदयगढ़ी
akapulko,अकापुल्को,अकापुल्को
vaidhruti,वैधृति,वैधरुत
charanbaddh,चरणबद्घ,चरणबद्ध
mandadi,मनदड़ी,मंदादी
euclid,यूक्लिड,यूक्लिड
paarampariktaa,पारंपरिकता,पारमपरिकता
hafate,हांफते,हफते]#
sathiya,साथिया,सथिया]
sanghiyataa,संघीयता,संघियता
mukhyaatithiyon,मुख्यअतिथियों,मुख्यतितियों]
vyavasthavirodhi,व्यवस्थाविरोधी,व्यवस्वतिभोरीह
raktadaataaon,रक्तदाताओं,रक्तदाताओं
baramade,बरामदे,बरमाड़
tarutal,तरुतल,तरुतल
kutta,कुत्ता,कुट्टा
jhaadaa,झाड़ा,झाड़ा
kishun,किशुन,किशुन
schaeffler,स्कैफ़लर,शेफेलर]#
amrohi,अमरोही,अमरोही
raidical,रैडिकल,रेडिकल
jenner,जेनर,जेन्
varshiya,वर्षिय,वर्षिय
hasino,हसीनों,हसिनो]
shaavakon,शावकों,शावकों
rupa,रूपा,रूपा
swaarthparak,स्वार्थपरक,स्वार्थरपा
weronika,वेरोनिका,वेरोनिका
webb,वेब,वेब
mahapatra,महापात्रा,महापत्रा]
chenkein,छींके,चेंके
agra,अग्र,एजीआ
jiyaangkou,जियांगकोऊ,जियांग्को
westwork,वेस्टवर्क,वेस्टवर्क
janaganna,जनगणना,जनागना
pasco,पास्को,पैस्को
jadhav,जाधव,जाधव
enterprise,एंटरप्राइज,इंटरप्रीज]
sanshayon,संशयों,संशयों
varnavyavasthaavaadiyon,वर्णव्यवस्थावादियों,वर्णवव्यासवाचानीकन]
upasthiyon,उपस्थियों,उपस्थियों
mudichu,मुडिचु,मुडीचु
parnstaron,पर्नस्टारों,पर्णस्टरों]
ia,ईए,एआ
baila,बैला,बैला
livaal,लिवाल,लिवाल
hillsboro,हिल्सबोरो,हिल्सबोरो
rashtriyadhyaksha,राष्ट्रियाध्यक्ष,राष्ट्रिययद्ष्यक
peedablyootee,पीडब्ल्यूटी,पीडब्लयूत्त
thousand,थाउजेंड,थाउसंद]
shaakir,शाकिर,शाकिर
salahkaar,सलाहकार,सालाक्र
vishwakarma,विश्वकर्मा,विश्वाकर्म
ridge,रिज,रिड
swaasthyaheenataa,स्वास्थ्यहीनता,स्वास्थ्येष्ञा
rishvatkhor,रिश्वतखोर,रिश्वाठोक
praavinses,प्राविंसेस,प्राविनसेस
daftarvaale,दफ्तरवाले,दफ्तरवाले
physician,फिजिशियन,फिजिशियन
log,लोग,लॉग
jodhika,जोधिका,जोधिका
sevalaa,सेवाला,सेवाला
doobat,डूबत,दूबत
sipah,सिपाह,सिपाह
bharamaa,भरमा,भरमा
prtigyaa,प्रतिज्ञा,प्रतिज्ञा
meghwal,मेघवाल,मेघवाल
nandoi,नंदोई,नंदोई
aurora,ऑरोरा,औरोरा
formuley,फार्मूले,फार्म्यू
durghtna,दुर्घटना,दुर्त्तन
swatantrasingh,स्वतंत्रसिंह,स्वतात्रांसि
monterey,मोंटेरे,मोंटरी]
baalti,बाल्टी,बाल्टी
columbia,कोलंबिया,कोलम्बिय
whittier,व्हिटियर,व्हिटियर
dukke,दुक्के,दुके]#
cubeck,क्यूबेक,सीबेक]#
chamakna,चमकना,छमकना
sheelbhag,शीलभंग,शीलभग]
bistagond,बिस्तागोंड,बिस्टागोंड
findlay,फाइंडले,फिंडलेय
bapaa,बापा,बपा]
dehra,देहरा,डहरा]
aise,ऐसे,आइए
shrankhala,श्रंखला,श्रंखला
hastaaksharon,हस्ताक्षरों,हस्तक्षरों]
tirupati,तिरुपति,तिरुपती
mangalmoortih,मंगलमूर्तिः,मंगलमूर्थी]
kursiyon,कुर्सियों,कुरसियों]
mithaiyaan,मिठाइयाँ,मिथाइयां
pahno,पहनो,पहनो
halebid,हैलबिड,हेलीबि
bangsh,बंगश,बंगश
officially,ऑफिशियली,ओफिसिली]
sevai,सेंवई,सेवाई
gurjar,गुर्जर,गुरजर]
samanvayaka,समन्वयक,सामनवाय
parnel,पार्नेल,पारनेल]
sunsan,सूनसान,सुनसान
cusex,क्यूसैक्स,क्यूसेक्स
madhya,मध्य,मध्य
yudhrat,युद्धरत,युधरात]
urbandale,अर्बनडेल,उर्बंडले
briggs,ब्रिग्स,ब्रिगस]
error,एरर,एरो
chikhali,चिखली,चिखली
waan,वाण,वान
adhikaariyaan,अधिकारियां,अधिकारियां
roanoke,रोनोक,रोएनो
haokip,हाओकिप,हाकिप]
poorvapekshaaon,पूर्वापेक्षाओं,पूर्वपेक्षाओं]
masheenawat,मशीनवत,मशीनाव
kadmo,कदमो,कदमो
kurami,कुरमी,कुराम
vidyaathyon,विद्याथयों,विद्यात्यो
simtataa,सिमटता,सिमतता
sangrur,संगरूर,संगरुर
strongsville,स्ट्रोंगस्विल,स्ट्रॉंगव्सल]
agvaai,अगवाई,अगवाई
jangan,जनगन,जंगा
nagraj,नागराज,नागराज
yariyan,यारियां,यारियां
bhagyeshwar,भाग्येष्वर,भाग्येश्वर
jivati,जीवति,जीवती
sudkhoron,सूदखोरों,सुखखोरों
rukwaakar,रुकवाकर,रुकवाकर
brahmvarta,ब्रह्मवर्ता,ब्रह्मवर्ता
gray,ग्रे,ग्रे
bhraanti,भ्रांति,भ्रान्त
purooshottamapur,पुरूषोत्तमपुर,पुरुषोत्तमपूर
teji,तेजी,तेजी
svaatan,स्वातं,स्वतन]
mantarimandaliya,मंत्रिमंडलीय,मंतरीमंदलीय]
ashley,एशले,अश्ल
mathews,मेथिव्स,माथेस]#
moolon,मूलों,मूलों
akzo,एक्ज़ो,अकजो]#
hamirpur,हमीरपुर,हमीरपुर
pokhriyal,पोखरियाल,पोखरियाल
bolateen,बोलतीं,बोलतीं
pratishthavale,प्रतिष्ठावाले,प्रतिष्ठवाले]
dabangata,दबंगता,दबंगता
dhuriya,धुरिया,धुरिया
teap,टिप,टीप
gazi,गाज़ी,गज़ी]
