Actual word in English,Actual word in Hindi,Predicted word in Hindi
likhkar,लिखकर,लिखकर
eyarkandeeshnar,एयरकंडीशनर,इयारकांद्र
nabz,नब्ज़,एनबीए
quess,कुएस,क्वे
bouni,बौनी,बौनी
kaaragujaariyaan,कारगुजारियां,कारगुज़ायरिय
gaangnam,गांगनाम,गांगनाम
tapia,तापीया,तपिया]
tezpur,तेज़पुर,तेजपुर]
talve,तलवे,तलवे
seemaai,सीमाई,सीमाई
darshnaarthi,दर्शनार्थी,दर्धनस्थरी
rivas,रिवास,रिवास
tarkvaad,तर्कवाद,तर्कवाद
anusaarakaa,अनुसारका,अनुसारका
coachella,कोचेला,कोचेला
latakakar,लटककर,लतककर
patravaliyan,पत्रावलियां,पत्रवलियाँ]
parishad,परिषद,परिशा
spinj,स्पिन्ज,सीएनपीज
anshida,अनशिदा,अंशिदा
dejesus,डिजीसस,डेजेसस
saraaymohiuddinpur,सरायमोहिउद्दीनपुर,सरायहोमिंदुपुद]##
lowell,लॉवेल,लोवेल
capacitor,कैपेसिटर,कैपैक्टर
passengerjind,पैसेंजरजींद,पैसजनर्जिंग
granthiyon,ग्रंथियों,ग्रंथियों
buena,बुएना,बीना]
canterbury,कैंटरबरी,कैंटरबीर
kaathiyavadi,काठियावड़ी,काठियावाडी
tekchandani,टेकचंदानी,तेकनादानी
fisad,फ़ीसद,फिसद]
beraharamee,बेरहरमी,बेरहराम
nishkarshah,निष्कर्षः,निश्कर्षा
activities,ऐक्टिविटीज,एक्विटीजीट
rikailleebreshan,रिकैलीब्रेशन,रिकाइलीरेबश्
shasanadhikaariyon,शासनाधिकारियों,शसनाधिकारियों]
fijoolkharchi,फिजूलखर्ची,फिजोलखर्ची
dablyoopeedee,डब्ल्यूपीडी,दब्लीपुद्य]
pace,पेस,पैस
dastar,दस्तार,दस्तर]
catlin,कैटलिन,कैटलिन
joddta,जोड़ता,जोड़ता
killat,किल्लत,किललत]
gruhnagar,गृहनगर,ग्रहनग
wonder,वंडर,वंडर
vatar,वाटर,वतर]
shving,श्विंग,श्विंग
pashtun,पश्तून,पश्तुन
farm,फार्म,फार्म
dibanu,डिबनू,दिबान
pashchamee,पश्चमी,पश्चाम
uthapatak,उठापटक,उथतपक]
nilaabh,नीलाभ,नीलाभ
laxmeeniyaan,लक्ष्मीनियां,लक्मीनियासन]
mahaanagarawaasiyon,महानगरवासियों,महानगराविसायो
upneta,उपनेता,उपनेता
convention,कन्वेंशन,कन्वेशन]
sharp,शाॅर्प,श्राप]
kaaryayojana,कार्ययोजना,कार्ययोजना
maas,मास,मास
westing,वेस्टिंग,वेस्टिंग
kurvetee,कुर्वेती,कुरवेती]
jyaada,ज़यादा,ज्ञादा
mukeshvari,मुकेश्वरी,मुकेश्वरी
shrimati,श्रीमति,श्रीमती
vivekadhikaron,विवेकाधिकारों,विवेकाधिकोर]#
loksabhavalee,लोकसभावाली,लोकसभवाली]
kabahaa,कबहा,कबहा
bhraantiyon,भ्रांतियों,भ्रांतियों
vivekahin,विवेकहीन,विवेकहीन
balmiki,बाल्मीकि,बालमिकी]
haryana,हरयाणा,हर्यना
jivraj,जीवराज,जिवराज
flynn,फ्लिन,फ्लाइ
rana,राणा,रना]
vishnupura,विष्णुपुरा,विश्नुपुरा
ghotaalebaajon,घोटालेबाजों,घोटालेबाजों
hairatangenz,हैरतअंगेज़,हैतरांजेंट
takaleephadeh,तकलीफ़देह,तकलीभेडह]
peepaadh,पीपाड़,पीपाड़
dhabhaashaaraa,धभाशारा,धाखाबार
antdiyan,अंतडियां,अंतदियां
robin,राबिन,रोबिन
singar,सिंगार,सिंगर]
gumshudagi,गुमशुदगी,गुमशुदाग
balkrishna,बालकृष्ण,बालकृष्ण
phabti,फब्ती,फ़बती
palatne,पलटने,पलतने
lahlahaati,लहलहाती,लहलाहात
nagaada,नगाड़ा,नागाड़
udanen,उड़ानें,उदानें]
klein,क्लेन,क्लेन
juloos,जूलूस,जुलूस
karyabhar,कार्यभार,कार्यभर]
manto,मंटो,मांत
paimaish,पैमाइश,पैमैश]
covina,कोविना,कोविना
penshan,पेंषन,पेंशन
ogastaavestalaind,ऑगस्टावेस्टलैंड,ओगस्तावेस्तालान
centreeng,सैंट्रींग,सेंट्रीन]
activa,ऐक्टिवा,अतिवा]#
barker,बार्कर,बर्कर]
valkan,वल्कन,वालका
vruton,वृत्तों,व्रूतों
kabaddi,कबड्डी,कबड़दी
raunakh,रौनक़,रौणख]
caitlyn,कैटलिन,कैटलिन
phoos,फूस,फूस
jangadnaa,जनगणना,जंगड़ा
upakhyaanon,उपाख्यानों,उपाख्यानों
sundram,सुंदरम,सुंदरा
cochin,कोचीन,कोचिन
neko,नेको,नेको
kaushal,कौशल,कौशा
phaliya,फालिया,फलिया]
acevedo,एस्वेडो,एकेवेडो
kottayam,कोट्टयम,कोट्टाय
dilaaega,दिलाएगा,दिलागे]
kurvi,कर्वी,कुरवी
saunpengi,सौंपेंगी,सौंपेंगी
lekhan,लेख़न,लेखन]
gudepu,गुडेपु,गुडेपु
pharase,फरसे,फरास
nubiya,नूबिया,नुबिया
taja,ताजा,तज्य
aantrit,आंत्रित,आंतृत]#
qazi,काजी,क़ज़
murgipalan,मुर्गीपालन,मुर्गीपालन
eddy,एड्डी,एडीएड
nagine,नगीने,नागिन
subha,सुब्हा,सुभा]#
luis,लुइस,लुइस
vijayapuram,विजयापुरम,विजयापुरम
bataao,बताअाे,बटाओ]#
ochoa,ओकोआ,ओच्छ
science,साइंस,सीसन]
sarkarein,सरकारें,सरकारिन
bremerton,ब्रेमटन,ब्रेमर्
gurupado,गुरुपदो,गुरूपदो
sanyukt,संयुक्त,संयुक्त
raalod,रालोद,रालोड
baadhaon,बाधाओं,बाधाओं
gaumutra,गौमूत्र,गौमुत्र
sabhaen,सभाएं,सभाईन
tani,तनी,तनी
delhi,दिल्ली,देल्ली
suken,सुजेन,सुकेन
vineet,विनीत,विनीत
chimate,चिमाते,चिमते]
kikiyana,किकियाना,किकियाना
rocket,रॊकेट,रॉकेट
maxwell,मैक्सवेल,मैक्सवेल
hippo,हिप्पो,हिप्पो
deepan,दीपन,दीपा
arymaa,अर्यमा,अरियाम
bhulata,भूलता,भुलता
karmaacharee,कर्माचारी,कर्माचारी
durgapur,दुर्गापुर,दुरगापुर]
tribhaashaa,त्रिभाषा,त्रिभाशा
soodkhoron,सूदखोरों,सूद्धोरो
prastaavon,प्रस्तावों,प्रस्तावों
survin,सुरवीन,सुरविन
prapti,प्राप्ती,प्राप्ति
girivaasiyon,गिरिवासियों,गिरविसायों]
siducing,सिडयूसिंग,सिडिसिंग]
welwet,वेलवेट,वेलवेट
muqarrar,मुक़र्रर,मुकाररार
baxter,बैक्सटर,बैक्टर]
denier,डेनिअर,डेनियर
cw,सीडब्ल्यू,सीवी]####
uthani,उठनी,उठनी
ghasi,घासी,घासी
ikattha,इकट्ठा,इकत्थ]
bhupsingh,भूपसिंह,भूपसिंह
dabochne,दबोचने,दाबोचन
crosby,क्रॉस्बी,क्रॉसीबी
naameegiraamee,नामीगिरामी,नामीगीरामे
hurley,हर्ले,हर्ले
jarda,जर्दा,जरदा]
liepradhanmantri,लिएप्रधानमंत्री,लिप्राधनमंत्री]
bhranti,भ्रांति,भ्राणती
agencyyon,ऐजेंसियों,एगेंस्याय
bago,बागो,बागो
forcee,फारसी,फोर्स
bosaan,बोसान,बोसान
karki,कार्की,कारकी]
ginate,गिनते,गिनाट
manokaamnaaon,मनोकामनाओं,मनोकामनाओं
sammpattiyaan,संम्पत्तियां,सम्पत्तामिया
politheenon,पॉलिथीनों,पोलिथिनों
mtake,एमटेक,मतके]
parichar,परिचर,परिचर
badabadee,बडबडी,बादाब
crane,क्रेन,क्रेन
laamiyaan,लामियां,लामियाँ
ulhasnagar,उल्हासनगर,उल्हसनगर]
prabhanmantri,प्रभानमंत्री,प्रभननमृत्]#
shiwalapurwa,शिवालापुरवा,शिवालापुरवा
ferth,फर्थ,फेर्
suhagin,सुहागिन,सुहागीन
saraikela,सरायकेला,सराइकेला
romeoville,रोमियोविल,रोमीवॉली]
raajsthanvasiyon,राजस्थानवासियों,राजस्थासंवायों]
pratirodhaatmak,प्रतिरोधात्मक,प्रतिरोधात्तक
svarnikaa,स्वर्णिका,स्वर्णिका
vyavasthapana,व्यवस्थापना,व्यवस्थापान
tel,तेल,टेल
galatfahmi,ग़लतफ़हमी,गलतफ्लाी]
takeinsider,टेकइनसाइडर,टेकेनसाइडर
microfiber,माइक्रोफाइबर,माइक्रोफाइबर
shreemahapoorn,श्रीमहापूर्ण,श्रीमहपूर्ण]
fallujaa,फ़ल्लूजा,फल्लुजा]
donaldson,डोनल्डसन,दोलंडसों
chadhne,चढ़ने,चढ़ने
jeevvigyaaniyon,जीवविज्ञानियों,जीवविज्ञायनिन]
cricketing,क्रिकेटिंग,क्रिटेकिंग
reduction,रिडक्शन,रेड्यूश
awaazen,आवाज़ें,अवाज़ें
wlaad,व्लाद,व्लाड
prathmik,प्राथमिक,प्राथिकम
thenga,ठेंगा,थेंगा
excel,एक्सेल,एक्ससे
chatakaate,चटकाते,चटकते]
kubuddin,कुबुद्दीन,कुबुद्दीन
taaza,ताजा,ताज़
padani,पड़नी,पदानी
nichaai,नीचाई,निचाई
wausau,वौसौ,वौसा
aalochakon,आलोचकों,आलोचकों
jaljale,ज़लज़ले,जलजले]#
surat,सूरत,सुरत
jeevati,जीवति,जीवती
prahaarak,प्रहारक,प्रहराक
shreesadguru,श्रीसद्गुरु,श्रीसदुगुर]
sanchalanon,संचालनों,संचालनों
bhal,भाल,भाल
tughlaq,तुगलक,तुघला
uthaapatak,उठापटक,उथापटक
hastaantaraneey,हस्तांतरणीय,हस्तानतर्णी
utsaahawarddhan,उत्साहवर्द्धन,उत्साधावरहांद
sangoshtree,संगोष्ट्री,संगोष्ट्री
shaasanadhikariyon,शासनाधिकारियों,शासनाधिकायोंत]
mahadhipatiyon,महाधिपतियों,महाधितापीयो
fatima,फातिमा,फतिमा]
fode,फोड़े,फोडे]
kantinyoo,कंटिन्यू,कंटिन्यू
kaamanaen,कामानाएं,कामनाएं]
chutile,चुटीले,चुतिले
sankhyaen,संख्याएं,संख्याने
kranj,करंज,क्रा
barsata,बरसाता,बरसाता
parikalpit,परिकल्पित,परिकलपीत]
harpal,हरपाल,हरपाल
maaoont,माऊंट,माऊंत
grover,ग्रोवर,ग्रोवर
biolozis,बायोलॉजिस्,बायोलोजिस]
halisahar,हालिशहर,हलीसहर]
angelo,एंजेलो,एंजेलो
janeudharee,जनेऊधारी,जनौधेरी]
bichbachaav,बीचबचाव,बिच्चाब
pokar,पोकर,पोकर
apvartit,अपवर्तित,अप्वर्ति
aastin,आस्तीन,आस्तिन
pratishthaavaale,प्रतिष्ठावाले,प्रतिष्ठावाले
buenaventura,ब्युनावेंचुरा,बुएनेवनुत्र]#
deccan,डेक्कन,डेक्सन
seriw,सेरिव,सेरिव
pardaa,पर्दा,परदा]
emile,एमिल,एमील
shaili,शैली,शैली
eastvale,ईस्टवेल,इसटवाले
chhallaa,छल्ला,छल्ला
lakshyon,लक्ष्यों,लक्ष्यों
hoaf,हॉफ,होए
jarurih,जरूरीः,जरूरीह
rahya,रह्या,रह्या
mahkane,महकने,महकान
devi,देवी,देवी
nielsen,नील्सन,नीलेसन
bhira,भीरा,भीरा
chabutare,चबूतरे,चबुतरे
bhushan,भूषण,भुषा
rukte,रुकते,रुक्त
aamdani,आमदनी,आमदान
talkshow,टॉकशो,तालक्
junagadh,जूनागढ़,जुनागढ़
padhata,पढ़ाता,पढ़ता]
odhakar,ओढ़कर,ओढ़कर
broke,ब्रोक,ब्रोक
talaasha,तलाशा,तलाशा
parivaarwaale,परिवारवाले,परिवारवाले
trubyunal,ट्रिब्यूनल,त्रुब्युना
brock,ब्रोक,ब्रॉक
yallaappaa,यल्लाप्पा,यल्लाप्पा
tasvaron,तस्वारों,तस्वारों
tugalaki,तुगलकी,तुगालक
pick,पिक,पीआ
circulation,सर्किलेशन,सर्च्युले
jvar,ज्वार,जेवीआ
kanindham,कनिंघम,कनिंधा
kush,कुश,कुश
properfacebuk,प्रॉपरफेसबुक,प्रोपर्फेक्स
ashrafi,अशरफी,अश्रफ
chadhen,चढ़ें,चढ़ें
vangchuk,वांगचुक,वंगचुक]
honeywell,हनीवेल,होनेवे
radiumdharmee,रेडियमधर्मी,रादिम्युदमर
ladhege,लड़ेगे,लढ़ेगे
sachan,सचन,सचन
arthshastriyon,अर्थशास्त्रीयों,अर्थश्तस्यर्शों
canton,कैंटन,कैंटन
aatmamugdha,आत्ममुग्ध,आत्ममुग्ध
pontiac,पॉन्टिएक,पोंटियाक
lopez,लोपेज़,लोपोज]
ghontanaa,घोंटना,घोंटना
ambani,अम्बानी,अंबानी]
maryadaon,मर्यादाओं,मर्यदाओं]
ratlam,रतलाम,रतलाम
hercules,हरक्यूलिस,हर्क्यूल्
akola,अकोला,अकोला
sakshan,सक्शन,सक्षण
notbandeeshuda,नोटबंदीशुदा,नोतबनदीशाबू
lagavaatee,लगवाती,लगवाती
alive,अलाइव,अलिवे
jivant,जीवंत,जिवंत
foda,फोड़ा,फोडा]
fatahee,फटही,फतही
noobiyaa,नूबिया,नूबिया
lalmanee,लालमणी,लालमनी
faisala,फ़ैसला,फैसाला
krutyaa,कृत्या,क्रुत्
dhuan,धुआं,धुआं
ahuja,आहूजा,अहुजा
pratipaalpur,प्रतिपालपुर,प्रतिपालपुर
namkeen,नमकीन,नमकीन
manjilen,मंजिलें,मांजिले
laffaajee,लफ्फाजी,लफ़ाबीज
juraab,जुराब,जुराब
fulae,फुलाए,फुलाई
castalloy,केस्टालॉय,कैस्टेलोल
black,ब्लैक,बीएलए
sooraj,सूरज,सूरा
bronch,ब्रॉन्च,ब्रोंच]
avarnataa,अवर्णता,अवरनाता
johari,जोहरी,जोहरी
tevree,तेवरी,तेवरी
sanders,सेंडर्स,सैंडर्स
welder,वेल्डर,वेल्डर
eneeyoo,एनईयू,इनीयू
bharashtachaariyon,भरष्टाचारियों,भरष्ठासायोंतर
laalmanee,लालमणी,लालमनी
khaatedaar,खातेदार,खातेदार
aazmaanaa,आजमाना,आज़मान
aavrittiyon,आवृत्तियों,आवृत्यितों
kullawee,कुल्लवी,कुल्लाव
bahawalpur,बहावलपुर,बहावलपुर
prathmikta,प्राथमिकता,प्राधिमतक]
mobile,मोबाइल,मोबील]
katihar,कटिहार,कतिहार
swecha,स्वेच्छा,स्वेचा]#
haamidan,हामिदन,हामिदन
samdharshni,समदर्शिनी,समधर्शनी]
dridh,दृढ़,दृध]
gond,गोंद,गोंड
wishesh,विशेश,विशेष
kaabilegour,काबिलेगौर,काबिलेगुर
laurense,लौरेंस,लॉरेंस
hisham,हिशाम,हिशम]
chausinga,चौसिंगा,चौसिंगा
pafin,पफिन,पाफि
mate,मेट,मात
buildcon,बिल्डकॉन,बिल्डक्न
teekon,टीकों,तीकों
athak,अथक,अठक
jindagee,जिदंगी,जिंदगी
chayal,चायल,चयाल
maap,माप,माप
last,लास्ट,एलएसट
gajra,गजरा,गजरा
ratrichar,रात्रिचर,रत्रिचार
kaathalaa,काथला,कठाला
sahuuliyata,सहूलियत,सहुउलिय
pattnaik,पटनायक,पत्तनि
nyayalayeen,न्यायालयीन,न्यायालीय]
mukhyamantriyon,मुख्यमंत्रियाें,मुख्यानमत्रियों
jeetanewalon,जीतनेवालों,जीतनेवालों
swaphoto,स्वफ़ोटो,स्वाफोतो
clifton,क्लिफ्टन,क्लिफ्टन
doda,डोडा,डोडा
pendulum,पेंडुलम,पेंडुलम
chipakane,चिपकने,चिकपने
nalakasa,नलकसा,नलकास
chhah,छह,छ्
gond,गोंड,गोंड
sameekshaakartaa,समीक्षाकर्ता,समीक्षकराता]
mantripad,मंत्रीपद,मांतृपाद
liberation,लिब्रेशन,लिबरेशन]
asamaany,असमान्य,असमानी]
chungiyon,चुंगियों,चुंगियों
arica,एरिका,अरिका
balot,बेलोट,बालोट
thin,थींं,तिन]
formic,फार्मिक,फोर्मिक
yuddhak,युद्धक,युद्धक
vegas,वेगास,वेगास
las,लास्ट,लास]#
chitranshi,चित्रांशी,चित्रांशी
avranta,अवर्णता,अवरांता
wasting,वेस्टिंग,वैस्टिंग
vitark,वितर्क,वितरक]
mukabaale,मुकबाले,मुकबाले
dharmapoorwee,धर्मपूर्वी,धर्मपुरीव]
ambaani,अंबानी,अब्मान
ibija,इबीजा,इबीजा
mahamedia,महामीडिया,महामेडिया
suzlon,सुज़लोन,सुज़लों
varnit,वर्णित,वर्णित
jhuthlane,झुठलाने,झुठलाने
madurai,मदुरई,मदुरा
kaundal,कौण्डल,कौंदल]
lapatta,लापत्ता,लपत्ता]
kshin,क्षीण,क्षिन
tewaree,तेवरी,तेवार
raichur,रायचूर,राइचुर
lindon,लिंडन,लिंडो
pulama,पुलमा,पुलमा
olraunder,ऑलराउंडर,ओलराउंडर
garibon,ग़रीबों,गरिबों]
callahan,कालाहान,कल्लाहन
wabag,वाबाग,वाबाग
kaipdhari,कैपधारी,कैफधारी
atta,आटा,एटी
bareli,बरेली,बरेली
jing,जिंग,जिंग
jivan,जीवन,जिवन
reddy,रेड्डी,रेडी]#
pehni,पहनी,पहनी
tanu,तनु,तान
deepika,दीपिका,दीपिका
lohati,लोहाती,लोहती]
kakkad,कक्कड़,कक्कड़
maulviyon,मौलवियों,मौलवियों
dungarpur,डूंगरपुर,दुंगरपुर
zaalaanaa,झालाना,ज़ालना
lakme,लक्मे,लकमे]
prospectus,प्रोस्पैक्ट्स,प्रोस्क्यूप्स
westinghouse,वेस्टिंगहाउस,वेस्टिंगहोस]
bawara,बावरा,बवारा
thakkr,ठक्कर,ठक्कर
ichchhaachaaree,इच्छाचारी,अच्छाहैरी
triya,त्रिया,त्रिया
dhavakon,धावकों,धावकों
damle,दामले,डामले
shravanabelagola,श्रवणाबेलागोला,श्रवानबेलगेवा]
nilkamal,नीलकमल,निलकमल
karmacharee,कर्माचारी,कर्मचारी]
poorwottar,पूर्वाेत्तर,पूर्वतेतर]#
lehrayi,लहराई,लेहरा
haito,हैतो,हैतो
prakaandh,प्रकाण्ड़,प्रकांध]#
khelmantree,खेलमंत्री,खेलमंत्री
bhavishya,भविष्य,भविष्य
egmor,एगमोर,एग्मो
shringar,शृंगार,श्रींग
saupengee,सौंपेंगी,सौपेगनी]
knoxville,नॉक्सविल,केन्कोवि
bender,बेंडर,बेंडर
sundaram,सुंदरम,सुंदरा
pradesh,प्रदेश,प्रदेश
samvedikaran,संवेदीकरण,सांवेदकरण
laguna,लगुना,लगुना
bhisham,भीष्म,भिशम]
yemmiganur,येम्मिगनुर,येम्मीगानु
huhtamaki,हुहतमाकी,हुहतामकी
vadli,वडाली,वडली]
gail,गेल,गेआ
race,रेस,रेस
salazar,सालाज़र,सलाज़र]
diphtheria,डिप्थीरिया,डिफथेरिया]
dradh,दृढ़,दृद]
shadadhi,शदधि,शदाध
prabodhini,प्रबोधिनी,प्रबोधिनी
lokpratinidhiyon,लोकप्रतिनिधियों,लोकप्रतियोधिनें
jatati,जताती,जतती]
mangla,मंगला,मंगला
berwyn,बर्विन,बरवाई]
mum,मम,मु
udaygadhi,उदयगढ़ी,उदागयदी
akapulko,अकापुल्को,अकापुलको]
vaidhruti,वैधृति,वैध्रु
charanbaddh,चरणबद्घ,चारणबद्
mandadi,मनदड़ी,मंदाडी
euclid,यूक्लिड,यूक्लिड
paarampariktaa,पारंपरिकता,पारामपरिकत
hafate,हांफते,हफते]#
sathiya,साथिया,सतिया]
sanghiyataa,संघीयता,संघियता
mukhyaatithiyon,मुख्यअतिथियों,मुख्यातितियों
vyavasthavirodhi,व्यवस्थाविरोधी,व्यवस्थिवोधिसे
raktadaataaon,रक्तदाताओं,रक्तदाताओं
baramade,बरामदे,बरमदे]
tarutal,तरुतल,तरुतल
kutta,कुत्ता,कुट्टा
jhaadaa,झाड़ा,झाड़ा
kishun,किशुन,किशुन
schaeffler,स्कैफ़लर,स्फेफल]#
amrohi,अमरोही,अमरोही
raidical,रैडिकल,रेडिकल
jenner,जेनर,जेन्
varshiya,वर्षिय,वर्षिय
hasino,हसीनों,हासिनो
shaavakon,शावकों,शावकों
rupa,रूपा,रूपा
swaarthparak,स्वार्थपरक,स्वार्थप्र
weronika,वेरोनिका,वेरोनिका
webb,वेब,वेब
mahapatra,महापात्रा,महापत्र]#
chenkein,छींके,चेंके
agra,अग्र,एजीआ
jiyaangkou,जियांगकोऊ,जियांगको]
westwork,वेस्टवर्क,वेस्टवर्क
janaganna,जनगणना,जनगनना
pasco,पास्को,पैस्को
jadhav,जाधव,जधाव
enterprise,एंटरप्राइज,एंटरप्राइज
sanshayon,संशयों,संशयों
varnavyavasthaavaadiyon,वर्णव्यवस्थावादियों,वर्णवव्यावासाठीयोंग
upasthiyon,उपस्थियों,उपस्थियों
mudichu,मुडिचु,मुदिचु
parnstaron,पर्नस्टारों,पर्नस्तरों]
ia,ईए,आई
baila,बैला,बैला
livaal,लिवाल,लिवाल
hillsboro,हिल्सबोरो,हिलसोबोरो
rashtriyadhyaksha,राष्ट्रियाध्यक्ष,राश्त्रयीयद्धका]
peedablyootee,पीडब्ल्यूटी,पीडाब्यतील]
thousand,थाउजेंड,थाउसंद]
shaakir,शाकिर,शाकीर
salahkaar,सलाहकार,सालहकर]
vishwakarma,विश्वकर्मा,विश्वकर्मा
ridge,रिज,रिड
swaasthyaheenataa,स्वास्थ्यहीनता,स्वास्थ्यानाहत
rishvatkhor,रिश्वतखोर,रिश्वताखो
praavinses,प्राविंसेस,प्राविस्ने
daftarvaale,दफ्तरवाले,दाचपरताले
physician,फिजिशियन,फिजिकियन
log,लोग,लोग
jodhika,जोधिका,जोधिका
sevalaa,सेवाला,सेवाला
doobat,डूबत,दूबत
sipah,सिपाह,सिपाह
bharamaa,भरमा,भरमा
prtigyaa,प्रतिज्ञा,प्रतिग्या
meghwal,मेघवाल,मेघवाल
nandoi,नंदोई,नंदोई
aurora,ऑरोरा,औरोरा
formuley,फार्मूले,फार्मुली
durghtna,दुर्घटना,दूर्घटना
swatantrasingh,स्वतंत्रसिंह,स्वतान्त्रसि
monterey,मोंटेरे,मोन्टेर
baalti,बाल्टी,बालती]
columbia,कोलंबिया,कोलुम्बि
whittier,व्हिटियर,व्हिटीअर
dukke,दुक्के,दुक्के
cubeck,क्यूबेक,क्यूबेक
chamakna,चमकना,चमकना
sheelbhag,शीलभंग,शीलभाग
bistagond,बिस्तागोंड,बिस्टागोंड
findlay,फाइंडले,फिंडलय]
bapaa,बापा,बपा]
dehra,देहरा,देहरा
aise,ऐसे,एएस
shrankhala,श्रंखला,श्रांखल
hastaaksharon,हस्ताक्षरों,हस्तास्कराओ
tirupati,तिरुपति,तिरुपति
mangalmoortih,मंगलमूर्तिः,मंगलामूर्थि
kursiyon,कुर्सियों,कुरसियों]
mithaiyaan,मिठाइयाँ,मिठायां]
pahno,पहनो,पहनो
halebid,हैलबिड,हलेबिड
bangsh,बंगश,बंगश
officially,ऑफिशियली,ओफियाइलि
sevai,सेंवई,सेवाई
gurjar,गुर्जर,गुरजर]
samanvayaka,समन्वयक,संवायाक
parnel,पार्नेल,परनेल]#
sunsan,सूनसान,सुनसान
cusex,क्यूसैक्स,कुसेक्स]#
madhya,मध्य,मध्य
yudhrat,युद्धरत,युधरत]#
urbandale,अर्बनडेल,उर्बनदले
briggs,ब्रिग्स,ब्रिग्स
error,एरर,एरर
chikhali,चिखली,चिखली
waan,वाण,वान
adhikaariyaan,अधिकारियां,अधिकारियाँ
roanoke,रोनोक,रोनोक
haokip,हाओकिप,होकिप]
poorvapekshaaon,पूर्वापेक्षाओं,पूर्वपेक्षाओं]
masheenawat,मशीनवत,मशीनवत
kadmo,कदमो,कड़म
kurami,कुरमी,कुराम
vidyaathyon,विद्याथयों,विद्याथ्यो
simtataa,सिमटता,सिमतात
sangrur,संगरूर,संगरुर
strongsville,स्ट्रोंगस्विल,स्ट्रोंग्साफ्
agvaai,अगवाई,अगवाई
jangan,जनगन,जंगन
nagraj,नागराज,नाग्रा
yariyan,यारियां,यारियान
bhagyeshwar,भाग्येष्वर,भग्येश्वर]
jivati,जीवति,जिवती
sudkhoron,सूदखोरों,सुद्धोरो
rukwaakar,रुकवाकर,रुकवाकर
brahmvarta,ब्रह्मवर्ता,ब्रह्मवात्र
gray,ग्रे,ग्रा
bhraanti,भ्रांति,भ्राणती
purooshottamapur,पुरूषोत्तमपुर,पूर्षोटोमतार]
teji,तेजी,तेजी
svaatan,स्वातं,स्वातन
mantarimandaliya,मंत्रिमंडलीय,मंतरीमंडलीया
ashley,एशले,अश्ल
mathews,मेथिव्स,मेथेवस]
moolon,मूलों,मूलों
akzo,एक्ज़ो,अक्जो]
hamirpur,हमीरपुर,हमीरपुर
pokhriyal,पोखरियाल,पोखरीयल]
bolateen,बोलतीं,बोलतीं
pratishthavale,प्रतिष्ठावाले,प्रतिष्ठावाले
dabangata,दबंगता,दाबांग
dhuriya,धुरिया,धुरिया
teap,टिप,टीआ
gazi,गाज़ी,गजी]#
ijajat,इजाजत,इजाजत
